year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2021,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,E,582,138,223,34,102,2341,3420
2021,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,W,807,290,220,59,496,2000,3871
2021,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,E,955,176,208,193,1181,1368,4080
2021,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,W,957,176,209,193,1183,1371,4089
2021,M4,TM,28,27,328415,187298,51.579978,-3.0344815,N,911,273,246,207,643,2526,4806
2021,M4,TM,28,27,328415,187298,51.579978,-3.0344815,S,841,281,279,141,521,2543,4606
2021,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,E,559,178,215,90,283,1267,2592
2021,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,W,478,167,195,70,236,1394,2539
2021,M4,TM,47,46,263100,199260,51.675377,-3.9812998,E,838,163,159,60,164,1010,2394
2021,M4,TM,47,46,263100,199260,51.675377,-3.9812998,W,844,169,148,75,138,934,2308
2021,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,E,599,212,188,100,243,1337,2678
2021,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,W,779,272,223,158,279,1492,3204
2021,M8,TM,27,26,249600,665700,55.86095,-4.404642,E,1570,276,424,209,561,584,3624
2021,M8,TM,27,26,249600,665700,55.86095,-4.404642,W,1563,276,422,210,560,581,3611
2021,M8,TM,31,30,243500,671870,55.914392,-4.5055725,E,225,47,139,14,75,218,718
2021,M8,TM,31,30,243500,671870,55.914392,-4.5055725,W,219,51,113,16,64,224,686
2021,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,N,333,58,155,59,468,223,1294
2021,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,S,715,95,200,28,165,549,1752
2021,M8,TM,11,10,266200,666110,55.869526,-4.1398329,E,1044,236,232,95,159,858,2624
2021,M8,TM,11,10,266200,666110,55.869526,-4.1398329,W,998,260,191,79,112,771,2413
2021,M8,TM,16,15,259700,666300,55.869383,-4.2437204,E,1750,396,431,169,660,1110,4516
2021,M8,TM,16,15,259700,666300,55.869383,-4.2437204,W,1624,249,348,86,560,957,3823
2021,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,N,1019,298,297,86,249,1963,3912
2021,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,S,1180,334,363,105,353,2426,4760
2021,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,N,1430,112,208,64,104,421,2339
2021,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,S,1062,92,279,132,130,516,2211
2021,M1,TM,2,4,520150,194300,51.634686,-0.26531515,E,786,130,189,49,132,785,2072
2021,M1,TM,2,4,520150,194300,51.634686,-0.26531515,W,829,129,200,48,110,492,1808
2021,M1,TM,17,18,458354,270523,52.329704,-1.1451197,N,976,324,256,484,3581,4277,9898
2021,M1,TM,17,18,458354,270523,52.329704,-1.1451197,S,804,285,220,390,3251,4126,9075
2021,M1,TM,22,23,447940,312400,52.707152,-1.2918996,N,1166,336,412,161,1108,4917,8100
2021,M1,TM,22,23,447940,312400,52.707152,-1.2918996,S,1018,361,375,141,1313,4618,7826
2021,M1,TM,LA Boundary,28,446420,355300,53.092898,-1.3082833,N,1660,274,322,399,2279,3193,8126
2021,M1,TM,LA Boundary,28,446420,355300,53.092898,-1.3082833,S,1552,284,287,459,2586,3499,8667
2021,M1,TM,M18 spur,33,445042,389324,53.398829,-1.3240585,E,1611,343,518,243,1242,3550,7506
2021,M1,TM,M18 spur,33,445042,389324,53.398829,-1.3240585,W,1250,421,544,126,863,3602,6807
2021,M621,TM,7,M1,432150,429500,53.760869,-1.5138143,N,737,181,191,53,223,880,2266
2021,M621,TM,7,M1,432150,429500,53.760869,-1.5138143,S,843,214,249,84,318,920,2628
2021,M2,TM,2,LA Boundary,573500,165500,51.362069,0.49073802,N,814,16,477,47,453,2864,4671
2021,M2,TM,2,LA Boundary,573500,165500,51.362069,0.49073802,S,797,55,431,71,1086,2288,4730
2021,M3,TM,7,6,459450,147210,51.220999,-1.1501169,E,567,151,179,129,294,1729,3050
2021,M3,TM,7,6,459450,147210,51.220999,-1.1501169,W,978,156,175,119,497,1426,3351
2021,M4,TM,4,3,508900,178400,51.494065,-0.43272165,E,1516,180,573,75,154,803,3301
2021,M4,TM,4,3,508900,178400,51.494065,-0.43272165,W,1825,144,568,148,277,716,3678
2021,M4,TM,13,12,452207,174055,51.463068,-1.2498911,E,1072,169,174,153,645,2025,4239
2021,M4,TM,13,12,452207,174055,51.463068,-1.2498911,W,1218,66,134,159,490,1997,4064
2021,M4,TM,LA Boundary,17,389200,179080,51.510542,-2.1570149,E,471,156,134,132,712,1941,3546
2021,M4,TM,LA Boundary,17,389200,179080,51.510542,-2.1570149,W,577,98,117,90,403,1986,3271
2021,M5,TM,4,LA Boundary,398500,280000,52.417992,-2.0234814,N,1466,248,189,172,463,2765,5303
2021,M5,TM,4,LA Boundary,398500,280000,52.417992,-2.0234814,S,1264,255,172,126,427,2558,4802
2021,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011414,-2.1210581,N,1221,234,128,153,652,2901,5288
2021,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011414,-2.1210581,S,1130,213,127,135,562,2819,4986
2021,M5,TM,11,10,389676,221798,51.894634,-2.151435,N,1217,219,120,69,1605,2920,6150
2021,M5,TM,11,10,389676,221798,51.894634,-2.151435,S,1104,288,138,73,1369,2497,5469
2021,M5,TM,24,23,330800,134540,51.105963,-2.9897945,N,708,200,198,185,649,1821,3761
2021,M5,TM,24,23,330800,134540,51.105963,-2.9897945,S,658,200,167,128,430,1851,3434
2021,M5,TM,28,27,303700,112172,50.900966,-3.3708332,N,816,74,113,46,129,1529,2708
2021,M5,TM,28,27,303700,112172,50.900966,-3.3708332,S,549,154,208,111,461,1395,2878
2021,M6,TM,4,M42,419593,286694,52.477826,-1.7129532,E,1587,288,187,202,1560,3901,7726
2021,M6,TM,4,M42,419593,286694,52.477826,-1.7129532,W,1512,296,276,188,1437,2943,6652
2021,M6,TM,16,17,377600,359800,53.134881,-2.3362678,N,1473,384,208,226,1756,6621,10669
2021,M6,TM,16,17,377600,359800,53.134881,-2.3362678,S,1362,415,245,344,2025,6831,11223
2021,M6,TM,21 spur,21A,364400,390840,53.413159,-2.5370481,E,1802,331,455,274,2883,5854,11598
2021,M6,TM,21 spur,21A,364400,390840,53.413159,-2.5370481,W,1832,391,503,323,2394,6825,12267
2021,M6,TM,25,A49,356725,402000,53.512888,-2.6540473,N,316,60,154,28,254,376,1188
2021,M6,TM,25,A49,356725,402000,53.512888,-2.6540473,S,276,89,120,30,260,360,1135
2021,M6,TM,29A,30,357160,425900,53.727729,-2.650785,N,740,80,344,19,287,3212,4683
2021,M6,TM,29A,30,357160,425900,53.727729,-2.650785,S,784,61,354,98,646,2905,4848
2021,M6,TM,43,44,341413,559508,54.926802,-2.9157244,N,361,77,105,102,1545,1750,3940
2021,M6,TM,43,44,341413,559508,54.926802,-2.9157244,S,480,77,156,128,1271,1937,4049
2021,M18,TM,4,5,466400,407900,53.563524,-0.99896973,N,441,167,248,107,878,3389,5230
2021,M18,TM,4,5,466400,407900,53.563524,-0.99896973,S,471,214,251,136,999,3477,5548
2021,M20,TM,4,5,571200,158800,51.302577,0.45451659,E,933,122,314,6,2468,2601,6445
2021,M20,TM,4,5,571200,158800,51.302577,0.45451659,W,919,166,1821,244,1810,1622,6583
2021,M23,TM,11,10A,530000,135500,51.104069,-0.14455299,E,996,213,296,139,273,645,2563
2021,M23,TM,11,10A,530000,135500,51.104069,-0.14455299,W,897,114,244,59,288,594,2197
2021,M27,TM,12,split,464300,104900,50.840064,-1.0881722,C,2890,621,799,454,2601,6289,13654
2021,M27,TM,8,9,449988,109982,50.88717,-1.2907213,E,616,192,456,129,533,792,2717
2021,M27,TM,8,9,449988,109982,50.88717,-1.2907213,W,782,144,506,206,134,1408,3179
2021,M40,TM,5,4,480300,192500,51.625598,-0.84137318,E,1466,227,164,150,782,1569,4357
2021,M40,TM,5,4,480300,192500,51.625598,-0.84137318,W,1546,257,168,172,806,1466,4414
