GVW_GEV,GVW_gumbel,GVW_weibull
2012.8166056220662,1441.8451544831335,1951387.420738557
1377.224738351502,1412.1783279981446,52989705.703776084
1431.1430298933014,1440.384583050967,6271657.5074394
1403.5530858886307,1428.2415404205892,1972.4296758514913
1429.5626652631254,1427.1832955489444,4481269.354344622
1749.4972189091131,1447.187335873292,6876034.741300463
1433.5215102524976,1443.7931289405103,7426666.774590306
1658.3203181189717,1393.1665536395565,2195030.790053494
1263.9900117899792,1396.4868177097585,6528377.329165728
1822.218648487156,1457.20485275205,3490963.4088021116
1219.6861047965629,1393.7714695807601,7086456.784961837
1348.4353145407017,1396.236607485975,10255765.456512157
1463.4513221088275,1436.1491707465598,3986296.4851664556
1781.8155124263844,1392.9405896281255,753863.8208217601
1607.5712371596333,1443.3528526079594,1903528.3046780613
1611.3481881946186,1410.0141290352833,1405390.355699118
4108.451346496263,1441.189789742355,9531391.093089916
1591.0399948808545,1433.4428816912173,3731972.447940382
1372.3533354716656,1433.7016745408075,1451.959716853504
1468.5813185903303,1421.4135701223695,1204454.427891905
