GVW_GEV,GVW_gumbel,GVW_weibull
1215.3136006770246,1108.5952334268015,965.1044230323721
1314.8049782959088,1122.7716197566658,1463.8115447754005
1289.3189161181126,1137.4275604335442,1040.0582951019958
1206.856495556655,1108.6578794557565,956.329856126349
977.2696449020752,1140.2990086642267,978.6117664820084
1256.6639226476511,1125.2614912997476,998.7704933450373
1218.5062571285036,1103.1660023147153,967.7686776110353
943.4973675374582,1134.5816409528372,954.9608840197383
1231.2400686226722,1127.8581441350002,968.8456120212263
1265.7231548316624,1117.384474560933,1008.6379536712785
1254.9864260605466,1110.4633602789595,991.8115504176473
1277.3538627425812,1147.4133582686375,999.5266752544674
1298.8494060084017,1155.7805927648667,1008.0014170638316
1317.623907986618,1162.5754572019705,1053.0581597262533
1254.5629657248219,1112.4165221086266,995.9054646619514
1309.8574068558187,1153.1621692551937,1063.562203896653
1031.7250090239536,1121.008136416898,978.3361871374827
920.0227532080578,1083.597589821422,963.8250868719016
1102.8218458843191,1130.4175948045754,991.5452680119514
996.083101357534,1134.2720073432474,987.010045112472
