year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2023,M5,TM,28,27,302984,109963,50.880987,-3.3804248,S,99,758,136,268,150,796,714,2822
2023,M6,TM,4,M42,419593,286694,52.477826,-1.7129532,E,90,1479,255,131,177,1256,3697,6994
2023,M6,TM,4,M42,419593,286694,52.477826,-1.7129532,W,86,1536,312,349,180,1227,3027,6631
2023,M6,TM,16,17,377600,359800,53.134881,-2.3362678,N,98,1326,34,926,12,1305,6567,10169
2023,M6,TM,16,17,377600,359800,53.134881,-2.3362678,S,117,1421,8,822,5,1832,6758,10846
2023,M6,TM,21 spur,21A,364400,390840,53.413159,-2.5370481,E,38,1876,353,475,292,2941,5856,11794
2023,M6,TM,21 spur,21A,364400,390840,53.413159,-2.5370481,W,23,1712,373,471,310,2192,6129,11187
2023,M6,TM,25,A49,356168,401482,53.508186,-2.6623735,N,14,322,62,157,29,253,367,1190
2023,M6,TM,25,A49,356168,401482,53.508186,-2.6623735,S,15,280,93,123,32,259,351,1137
2023,M6,TM,29A,30,357160,425900,53.727729,-2.650785,N,97,662,211,271,112,599,2288,4144
2023,M6,TM,29A,30,357160,425900,53.727729,-2.650785,S,94,696,204,348,186,997,2179,4610
2023,M6,TM,43,44,341413,559508,54.926802,-2.9157244,N,45,658,190,95,166,685,2924,4719
2023,M6,TM,43,44,341413,559508,54.926802,-2.9157244,S,43,536,147,85,78,661,2642,4150
2023,M18,TM,4,5,466400,407900,53.563524,-0.99896973,N,42,626,256,229,87,564,3334,5096
2023,M18,TM,4,5,466400,407900,53.563524,-0.99896973,S,42,619,224,265,88,446,3505,5147
2023,M20,TM,4,5,571200,158800,51.302577,0.45451659,E,84,1140,131,567,386,2671,2183,7078
2023,M20,TM,4,5,571200,158800,51.302577,0.45451659,W,74,1028,109,508,376,1931,2116,6069
2023,M23,TM,11,10A,530000,135500,51.104069,-0.14455299,E,51,862,116,423,150,413,490,2455
2023,M23,TM,11,10A,530000,135500,51.104069,-0.14455299,W,53,839,160,370,79,264,582,2294
2023,M27,TM,12,split,464300,104900,50.840064,-1.0881722,C,276,2647,559,749,444,2464,5675,12538
2023,M27,TM,8,9,449988,109982,50.88717,-1.2907213,E,83,813,145,366,122,581,747,2775
2023,M27,TM,8,9,449988,109982,50.88717,-1.2907213,W,100,825,201,372,147,434,976,2955
2023,M40,TM,5,4,480300,192500,51.625598,-0.84137318,E,201,1304,159,156,137,885,1260,3900
2023,M40,TM,5,4,480300,192500,51.625598,-0.84137318,W,178,1630,199,132,236,933,1366,4497
2023,M45,TM,LA Boundary,M1,455407,270921,52.333587,-1.1882946,E,25,166,38,53,40,371,141,809
2023,M45,TM,LA Boundary,M1,455407,270921,52.333587,-1.1882946,W,15,181,24,46,60,344,151,806
2023,M53,TM,3,2,328000,388000,53.383917,-3.0839369,N,85,352,70,127,78,300,470,1396
2023,M53,TM,3,2,328000,388000,53.383917,-3.0839369,S,75,326,76,128,75,248,502,1355
2023,M56,TM,4,LA Boundary,383600,388821,53.395961,-2.2480935,E,145,804,173,165,91,230,1031,2493
2023,M56,TM,4,LA Boundary,383600,388821,53.395961,-2.2480935,W,119,800,167,151,80,246,1021,2465
2023,M56,TM,5,4,381560,387149,53.380865,-2.2786731,N,298,1072,260,280,188,1157,1327,4283
