GVW_GEV,GVW_gumbel,GVW_weibull
1415.3422787461639,1319.998381646372,1144.6263034685028
1090.0998103185093,1347.812789673417,1145.4853305431536
1217.099746430231,1357.0862243341314,1196.0203595847336
1429.8065692211221,1337.2703178892198,1159.3746575375892
1092.669636356949,1369.8772154524809,1127.7298230272502
1436.6079746108765,1317.2237195274045,1207.6778492216351
1407.4668561113428,1334.876333310841,1146.6968056876312
1379.158251655874,1296.43924690732,1153.9488054466244
1121.2994313126314,1341.5994110990425,1160.44209194944
1420.0744167395671,1320.012245719104,1163.2646030578467
1444.4270004303253,1342.3929150457643,1184.4581305558634
1113.2501545550167,1357.7592531693506,1182.9787753923488
1481.2815841052911,1334.513112612915,1232.6198121817297
1101.9916140747976,1343.7417260688787,1150.5556275588501
1117.2723066536716,1366.6267373783928,1175.466537491778
1443.7561183808991,1334.9617530960234,1173.7905020296248
1452.8235693752931,1360.5459622823698,1167.0454745837912
1217.5094212340907,1320.432258060114,1167.120492269899
1356.6696632266355,1314.4011545608128,1110.7326134723635
1221.4771759536134,1346.8380082824472,1204.62834169482
