year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,all_HGVs,2_axle,3_axle,4_axle,5_axle,6_axle,7_axle,Mean GVW
2023,M5,TM,11,10,390397,225518,51.928093,-2.1410624,N,5656,1191,258,114,1517,2653,3,31407.391039051603
2023,M5,TM,11,10,390397,225518,51.928093,-2.1410624,S,5277,1153,350,133,1367,2381,4,31088.614142538976
2023,M5,TM,24,23,330800,134540,51.105963,-2.9897945,N,3533,905,297,415,713,1264,4,28223.452751528628
2023,M5,TM,24,23,330800,134540,51.105963,-2.9897945,S,3855,961,187,484,804,1483,4,28912.971195513637
2023,M5,TM,28,27,302984,109963,50.880987,-3.3804248,N,3026,702,212,261,993,940,7,28363.625682182985
2023,M5,TM,28,27,302984,109963,50.880987,-3.3804248,S,2822,815,204,266,884,745,7,26728.909962341662
2023,M6,TM,4,M42,419593,286694,52.477826,-1.7129532,E,6994,1531,324,216,1299,3712,4,32228.342929720577
2023,M6,TM,4,M42,419593,286694,52.477826,-1.7129532,W,6631,1585,381,333,1341,3067,9,30603.8496128648
2023,M6,TM,16,17,377600,359800,53.134881,-2.3362678,N,10169,1382,78,502,1609,6673,25,35782.56500146071
2023,M6,TM,16,17,377600,359800,53.134881,-2.3362678,S,10846,1488,59,440,2102,6853,22,35737.74188252463
2023,M6,TM,21 spur,21A,364400,390840,53.413159,-2.5370481,E,11794,1898,420,493,3097,5911,13,33032.2760311021
2023,M6,TM,21 spur,21A,364400,390840,53.413159,-2.5370481,W,11187,1725,438,505,2346,6183,13,33776.46173059768
2023,M6,TM,25,A49,356168,401482,53.508186,-2.6623735,N,1190,330,73,107,304,385,4,27730.21612635079
2023,M6,TM,25,A49,356168,401482,53.508186,-2.6623735,S,1137,289,105,91,299,365,3,27689.29513888889
2023,M6,TM,29A,30,357160,425900,53.727729,-2.650785,N,4144,718,272,236,688,2319,7,32790.075
2023,M6,TM,29A,30,357160,425900,53.727729,-2.650785,S,4610,750,277,338,1111,2219,9,32099.274659863946
2023,M6,TM,43,44,341413,559508,54.926802,-2.9157244,N,4719,684,238,187,716,2935,3,34897.51879067814
2023,M6,TM,43,44,341413,559508,54.926802,-2.9157244,S,4150,561,179,109,689,2652,2,35473.32824427481
2023,M18,TM,4,5,466400,407900,53.563524,-0.99896973,N,5096,650,289,194,639,3360,6,35554.039509536786
2023,M18,TM,4,5,466400,407900,53.563524,-0.99896973,S,5147,643,257,214,533,3535,7,35919.28367700906
2023,M20,TM,4,5,571200,158800,51.302577,0.45451659,E,7078,1188,235,619,2857,2248,15,30420.60890812622
2023,M20,TM,4,5,571200,158800,51.302577,0.45451659,W,6069,1070,207,580,2098,2174,14,30242.139996744263
2023,M23,TM,11,10A,530000,135500,51.104069,-0.14455299,E,2455,891,164,349,552,539,11,24604.434956105346
2023,M23,TM,11,10A,530000,135500,51.104069,-0.14455299,W,2294,869,197,261,385,625,10,24736.12143161483
2023,M27,TM,12,split,464300,104900,50.840064,-1.0881722,C,12538,2805,755,764,2710,5761,20,30977.65563792431
2023,M27,TM,8,9,449988,109982,50.88717,-1.2907213,E,2775,861,201,295,701,789,10,26445.253062653133
2023,M27,TM,8,9,449988,109982,50.88717,-1.2907213,W,2955,882,270,319,556,1019,10,27056.975130890052
2023,M40,TM,5,4,480300,192500,51.625598,-0.84137318,E,3900,1419,269,196,936,1278,4,26573.606533398342
2023,M40,TM,5,4,480300,192500,51.625598,-0.84137318,W,4497,1732,317,264,976,1381,4,25938.45079161318
2023,M45,TM,LA Boundary,M1,455407,270921,52.333587,-1.1882946,E,809,180,56,61,388,147,1,27267.266506602642
2023,M45,TM,LA Boundary,M1,455407,270921,52.333587,-1.1882946,W,806,190,41,73,359,156,1,27170.268292682926
2023,M53,TM,3,2,328000,388000,53.383917,-3.0839369,N,1396,401,120,131,342,485,3,27570.800269905532
2023,M53,TM,3,2,328000,388000,53.383917,-3.0839369,S,1355,369,121,130,290,517,3,28715.36083916084
2023,M56,TM,4,LA Boundary,383600,388821,53.395961,-2.2480935,E,2493,887,251,163,284,1050,4,27410.428950359987
2023,M56,TM,4,LA Boundary,383600,388821,53.395961,-2.2480935,W,2465,868,232,146,296,1038,4,27513.980263157893
2023,M56,TM,5,4,381560,387149,53.380865,-2.2786731,N,4283,1243,420,304,1249,1359,8,27334.79423958106
2023,M56,TM,5,4,381560,387149,53.380865,-2.2786731,S,3849,960,368,283,1331,1199,7,27961.256027000964
2023,M56,TM,9,8,371100,385200,53.362876,-2.4357355,E,2130,323,133,122,281,1343,5,34542.063434526506
2023,M56,TM,9,8,371100,385200,53.362876,-2.4357355,W,1990,365,115,111,214,1231,4,33496.93137254902
2023,M62,TM,9,10,362100,392040,53.423784,-2.5717932,E,6569,1155,314,523,778,3857,9,33333.72031344183
2023,M62,TM,9,10,362100,392040,53.423784,-2.5717932,W,6199,1123,284,421,729,3689,8,33360.76047329709
2023,M60,TM,17,18,381800,405391,53.544839,-2.2761281,E,9568,1790,397,488,1534,5448,16,33296.06740411455
2023,M60,TM,17,18,381800,405391,53.544839,-2.2761281,W,9428,1637,755,581,1514,5034,15,32324.803586409394
2023,M62,TM,22,LA Boundary,404000,416600,53.645893,-1.9409665,E,9100,1882,535,519,2927,3300,4,29904.170284716918
2023,M62,TM,22,LA Boundary,404000,416600,53.645893,-1.9409665,W,9254,2012,534,511,2836,3434,4,29952.030543350123
2023,M62,TM,27,28,426000,426200,53.731551,-1.607374,E,11210,2195,580,491,974,6970,10,33623.94625668449
2023,M62,TM,27,28,426000,426200,53.731551,-1.607374,W,11420,2314,707,582,1145,6672,11,32917.62960370921
2023,M60,TM,12,11,375152,398500,53.482627,-2.3759025,N,3779,1094,214,339,413,1800,14,29740.34873515746
2023,M60,TM,12,11,375152,398500,53.482627,-2.3759025,S,3735,718,292,438,477,1868,20,31118.27878311041
2023,M60,TM,6,LA Boundary,380885,391590,53.420758,-2.2890909,N,3176,930,254,229,328,1483,8,29266.28032178218
2023,M60,TM,6,LA Boundary,380885,391590,53.420758,-2.2890909,S,2552,663,262,206,336,1130,8,29391.714395393476
2023,M60,TM,19,18,383001,405701,53.547666,-2.2580209,E,2827,819,237,288,390,1151,11,28162.89640883978
2023,M60,TM,19,18,383001,405701,53.547666,-2.2580209,W,3054,1124,232,320,415,1030,12,25934.367060325567
2023,M621,TM,RD SPLIT,1,426500,429600,53.762085,-1.5995049,N,1757,830,199,105,121,555,4,23501.197905181918
2023,M621,TM,RD SPLIT,1,426500,429600,53.762085,-1.5995049,S,1350,562,176,90,101,463,4,25194.320200573067
2023,M25,TM,23,22,521708,201110,51.695553,-0.240445,E,12138,2732,534,580,4037,4347,16,29919.951331046872
2023,M25,TM,23,22,521708,201110,51.695553,-0.240445,W,10848,1862,515,545,2983,5054,16,32350.409202733485
2023,M25,TM,17,18,503800,195000,51.644229,-0.50125972,N,6877,1508,563,501,812,3558,13,31076.859237958302
2023,M25,TM,17,18,503800,195000,51.644229,-0.50125972,S,7601,1511,274,197,1910,3767,10,32313.54609466684
2023,M67,TM,2,3,394490,395211,53.453626,-2.0844405,E,1349,409,102,107,355,413,2,27468.682997118154
2023,M67,TM,2,3,394490,395211,53.453626,-2.0844405,W,1260,422,103,91,291,389,2,26613.234206471494
2023,M25,TM,3,2,554457,170565,51.413071,0.21964272,N,7246,1489,419,445,2273,2716,12,30124.306227903184
2023,M25,TM,3,2,554457,170565,51.413071,0.21964272,S,7483,1363,443,478,2172,3137,13,31164.7912174599
2023,M56,TM,M56 spur,14,344643,373500,53.255605,-2.8312166,E,5730,1093,355,416,2092,1878,10,29782.061772758385
2023,M56,TM,M56 spur,14,344643,373500,53.255605,-2.8312166,W,5765,1006,273,326,2055,2179,10,31028.737220037612
2023,M58,TM,1,3,342016,403231,53.522532,-2.8760592,E,1435,316,93,101,203,756,4,31472.623896809233
2023,M58,TM,1,3,342016,403231,53.522532,-2.8760592,W,1521,288,116,102,173,889,4,32862.057251908394
2023,M20,TM,10,11,608000,138750,51.110288,0.97011179,E,3882,317,117,129,2559,840,2,31331.267658930374
2023,M20,TM,10,11,608000,138750,51.110288,0.97011179,W,3817,254,121,104,1842,1547,2,33974.59715762274
2023,M25,TM,11,10,505600,161200,51.34009,-0.48535719,N,7135,1224,449,549,2509,2493,14,30258.373445703233
2023,M25,TM,11,10,505600,161200,51.34009,-0.48535719,S,7021,1521,445,543,3234,1346,14,27430.362804448825
2023,M25,TM,16,15,504000,183357,51.539542,-0.501817,N,11406,3858,639,862,1719,4375,21,27609.91955725989
2023,M25,TM,16,15,504000,183357,51.539542,-0.501817,S,10990,3940,601,854,1540,4110,24,26993.29027012377
2023,M25,TM,20,21,510000,202901,51.714064,-0.40920576,E,8625,2031,486,530,1232,4378,16,31151.031246396862
2023,M25,TM,20,21,510000,202901,51.714064,-0.40920576,W,7561,1744,420,525,997,3904,17,31384.113842513474
2023,M25,TM,LA Boundary,27,549300,198760,51.667785,0.15749389,E,12908,1725,373,540,3714,6564,11,33803.82586833759
2023,M25,TM,LA Boundary,27,549300,198760,51.667785,0.15749389,W,13932,1899,347,592,4083,7015,13,33719.06774679189
2023,M11,TM,9,10,547270,245500,52.088261,0.14808793,N,3497,408,150,144,894,1953,2,34385.25936355956
2023,M11,TM,9,10,547270,245500,52.088261,0.14808793,S,4380,436,136,135,1400,2308,2,34683.693683495585
2023,M54,TM,4,3,375900,308800,52.676361,-2.3578766,E,2945,759,176,209,427,1439,9,30288.067572043725
2023,M54,TM,4,3,375900,308800,52.676361,-2.3578766,W,3038,800,180,198,404,1533,8,30722.388408581493
2023,M20,TM,2,2,561000,159600,51.312739,0.30868761,E,4277,456,150,367,1247,2083,7,33681.85011600928
2023,M20,TM,2,2,561000,159600,51.312739,0.30868761,W,2748,398,101,326,857,1109,6,31207.55666785842
2023,M56,TM,8,7,374250,385200,53.363039,-2.3884026,C,3914,654,235,222,469,2444,8,34123.529017857145
2023,M18,TM,M1,M18 SPUR,448325,388413,53.390352,-1.2748273,N,5655,639,115,163,2501,2305,4,32999.19870787498
2023,M18,TM,M1,M18 SPUR,448325,388413,53.390352,-1.2748273,S,5217,683,139,217,2059,2189,5,32838.689153439154
2023,M4,TM,4,A408,507489,178674,51.496798,-0.45295527,N,1512,973,179,188,140,215,8,18558.43863769818
2023,M4,TM,4,A408,507489,178674,51.496798,-0.45295527,S,1561,1015,184,185,151,215,8,18984.796359499433
2023,M3,TM,4,A331,486850,157970,51.314223,-0.75524918,E,2316,571,144,148,557,937,4,29638.244387971197
2023,M3,TM,4,A331,486850,157970,51.314223,-0.75524918,W,1256,309,78,81,302,508,2,29815.94765625
2023,M621,TM,4,5,430490,431176,53.776032,-1.5388281,N,2252,1005,226,183,291,621,7,23548.628804114873
2023,M621,TM,4,5,430490,431176,53.776032,-1.5388281,S,2516,1139,227,220,325,676,7,23634.79298380879
2023,M42,TM,M42 split,Jn1 38,396790,273090,52.355862,-2.0485557,E,5854,1358,353,265,936,2991,5,31631.503046716316
2023,M42,TM,M42 split,Jn1 38,396790,273090,52.355862,-2.0485557,W,5787,1413,361,239,888,2954,5,31168.49624573379
2023,M18,TM,6,LA Boundary,468457,415863,53.634822,-0.96617331,N,5846,628,166,233,2089,2748,5,34061.88072925541
2023,M18,TM,6,LA Boundary,468457,415863,53.634822,-0.96617331,S,5956,558,137,220,1695,3368,5,35276.82283135551
2023,M621,TM,A650 SPUR,RD SPLIT,424290,428000,53.747811,-1.6331525,C,878,415,99,52,61,278,2,23904.101433296582
2023,M621,TM,A62,SPUR,425000,427910,53.746969,-1.6223938,C,1350,562,176,90,101,463,4,24674.27363896848
2023,M60,TM,8,7,378714,393628,53.438993,-2.3218961,E,2789,743,264,246,575,1018,10,28116.777310924368
2023,M60,TM,8,7,378714,393628,53.438993,-2.3218961,W,2990,839,205,241,354,1400,9,29360.417650918636
2023,M40,TM,16,15,421004,266974,52.300491,-1.6934085,E,4818,1394,235,187,486,2638,9,31035.57163063245
2023,M40,TM,16,15,421004,266974,52.300491,-1.6934085,W,5036,1581,295,182,592,2515,8,29796.944132998262
2023,M40,TM,LA Boundary,LA Boundary,462820,210000,51.785143,-1.0907047,N,3624,1309,203,197,835,1122,2,26259.146946564884
2023,M40,TM,LA Boundary,LA Boundary,462820,210000,51.785143,-1.0907047,S,3151,1051,150,121,677,1179,2,27900.7786163522
