GVW_GEV,GVW_gumbel,GVW_weibull
1439.9564185675192,1364.6314264265673,1219.2928005087263
1178.6960277684602,1365.5310174659303,1203.449299410535
1428.9670907276666,1365.6644343439475,1210.0169335996895
1400.5811523423833,1349.0952950017795,1188.2144974726812
1468.3331536050782,1411.6632268444832,1210.6035990168891
1477.9156167618762,1378.2389835341717,1252.1434037818162
1447.205358698896,1378.4971101602825,1214.6192866542704
1177.8361831851341,1381.2275862284714,1207.4380470377782
1404.875859456034,1337.8844066796055,1205.0573461843562
1390.9745855132849,1333.9367556423529,1182.6405107945104
1147.82092087068,1387.5472407856862,1180.0125493859666
1446.61936064832,1368.897287645468,1235.239846997246
1159.3854740645158,1384.6368528704,1184.672399734965
1469.1083975506065,1363.302939753997,1255.3219093147768
1190.844547073525,1377.4789177442578,1216.8965431799259
1451.5110639111197,1403.4588643368752,1206.4459101305308
1231.893912291209,1374.4966480974037,1219.6550552679023
1164.996753572816,1375.266781628925,1191.973653976479
1453.9183919656816,1363.8911609178658,1243.4073570523342
1159.2156734307791,1354.464471657933,1197.9162832488435
