year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2001,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,N,231,1526,193,217,610,1823,960,5329
2001,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,S,249,1806,199,228,585,1724,1138,5680
2001,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,176,925,185,212,249,797,467,2835
2001,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,183,959,213,234,237,679,508,2830
2001,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,106,782,237,279,149,409,154,2010
2001,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,81,922,190,106,168,537,308,2231
2001,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,220,645,128,103,227,623,391,2117
2001,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,225,713,164,118,329,613,459,2396
2001,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,383,598,243,246,259,605,347,2298
2001,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,419,635,229,293,145,523,322,2147
2001,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,68,320,52,36,81,217,78,784
2001,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,82,204,62,50,53,162,101,632
2001,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,N,60,286,58,49,133,263,283,1072
2001,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,S,38,256,87,73,130,213,368,1127
2001,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,60,383,48,102,159,328,147,1167
2001,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,74,572,80,79,100,338,171,1340
2001,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,N,119,571,129,47,134,344,220,1445
2001,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,S,146,697,121,60,138,394,248,1658
2001,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,N,272,715,82,34,124,105,7,1067
2001,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,S,378,791,105,31,160,100,1,1188
2001,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,E,515,969,249,362,500,1132,490,3702
2001,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,W,515,1054,327,365,289,719,917,3671
2001,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,E,452,2197,634,550,616,1064,1256,6317
2001,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,W,388,1900,369,401,559,632,619,4480
2001,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,N,304,843,574,464,552,959,1674,5066
2001,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,S,401,834,684,522,832,815,1502,5189
2001,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,N,245,635,84,125,181,293,231,1549
2001,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,S,234,602,73,153,104,233,340,1505
2001,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,N,213,818,94,126,166,304,252,1760
2001,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,S,282,832,60,143,145,297,337,1814
2001,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,N,305,2207,174,223,637,2308,1858,7407
2001,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,S,296,1421,147,105,821,2222,1984,6700
2001,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,N,231,1668,203,317,821,2654,2195,7858
2001,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,S,213,2146,221,454,781,2978,2074,8654
2001,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,N,181,2116,215,220,894,2364,1587,7396
2001,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,S,162,1495,180,188,661,1794,1473,5791
2001,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,N,149,2948,296,132,1167,2758,1668,8969
2001,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,S,145,2029,274,146,753,2376,1878,7456
2001,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,N,156,2754,335,384,736,2232,1147,7588
2001,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,S,241,2372,331,476,656,2521,1379,7735
2001,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,N,185,700,185,229,305,704,472,2595
2001,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,S,231,738,188,215,328,806,466,2741
2001,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,E,479,1139,204,410,363,1067,524,3707
2001,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,W,351,1019,129,379,402,1015,470,3414
2001,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,N,180,1433,126,124,287,760,688,3418
2001,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,S,161,1261,108,122,222,804,551,3068
2001,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,E,599,1499,123,232,327,587,316,3084
2001,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,W,583,1545,90,225,352,564,200,2976
2001,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,E,331,1206,131,57,359,1413,967,4133
2001,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,W,252,1471,110,130,396,1215,839,4161
2001,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,E,512,1204,180,195,466,1793,654,4492
2001,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,W,382,1283,180,181,459,1595,660,4358
2001,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,N,230,1493,122,146,486,1326,727,4300
2001,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,S,227,1870,224,190,631,1635,1047,5597
2001,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,N,115,1483,218,128,653,1777,1091,5350
2001,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,S,155,1515,231,97,628,1332,1149,4952
2001,M5,TM,11,10,389660,223200,51.90724048,-2.151710032,N,129,1560,197,172,747,1895,1350,5921
2001,M5,TM,11,10,389660,223200,51.90724048,-2.151710032,S,216,1235,225,163,722,1516,1347,5208
2001,M5,TM,24,23,330800,134540,51.105965169,-2.989794576,N,164,1238,171,103,524,1082,572,3690
2001,M5,TM,24,23,330800,134540,51.105965169,-2.989794576,S,151,895,155,86,407,913,667,3123
2001,M5,TM,28,27,303700,112172,50.900967348,-3.370833261,N,197,877,248,70,363,766,869,3193
2001,M5,TM,28,27,303700,112172,50.900967348,-3.370833261,S,166,880,172,48,339,648,769,2856
2001,M6,TM,4,M42,419593,286694,52.477827332,-1.712953169,E,117,2149,244,120,838,2457,2232,8040
2001,M6,TM,4,M42,419593,286694,52.477827332,-1.712953169,W,165,2230,316,246,678,1797,1808,7075
2001,M6,TM,16,17,377600,359800,53.134882738,-2.336267782,N,182,2326,272,156,1336,4286,1920,10296
2001,M6,TM,16,17,377600,359800,53.134882738,-2.336267782,S,263,2367,285,139,1115,3690,2424,10020
2001,M6,TM,21 spur,21A,364400,390840,53.413160277,-2.537048107,N,350,2782,393,230,1312,3611,2659,10987
2001,M6,TM,21 spur,21A,364400,390840,53.413160277,-2.537048107,S,352,2619,370,297,1131,4145,1976,10538
2001,M6,TM,25,A49,356725,402000,53.512889706,-2.654047289,E,106,610,105,108,198,221,262,1504
2001,M6,TM,25,A49,356725,402000,53.512889706,-2.654047289,W,103,456,101,114,226,272,176,1345
2001,M6,TM,29A,30,357160,425900,53.727730144,-2.650785067,N,128,1290,245,246,272,1187,1162,4402
2001,M6,TM,29A,30,357160,425900,53.727730144,-2.650785067,S,154,1287,190,236,313,1281,1109,4416
2001,M6,TM,34 western spur,35,349600,465000,54.078444094,-2.771810414,N,95,769,153,228,282,1032,1369,3833
2001,M6,TM,34 western spur,35,349600,465000,54.078444094,-2.771810414,S,99,927,172,331,313,1222,1045,4010
2001,M6,TM,43,44,341413,559508,54.926803387,-2.915724416,N,177,1012,461,242,322,1212,1617,4866
2001,M6,TM,43,44,341413,559508,54.926803387,-2.915724416,S,134,791,146,90,448,1755,1266,4496
2001,M18,TM,4,5,466400,407900,53.563525103,-0.998969684,N,76,963,112,93,367,1195,1421,4151
2001,M18,TM,4,5,466400,407900,53.563525103,-0.998969684,S,101,939,138,72,285,1453,1309,4196
2001,M20,TM,4,5,571200,158800,51.302579071,0.454516689,E,505,1659,284,353,783,3552,760,7391
2001,M20,TM,4,5,571200,158800,51.302579071,0.454516689,W,414,1728,243,354,639,3292,745,7001
2001,M23,TM,11,10A,530000,135500,51.104070727,-0.144552913,N,146,1175,117,232,251,477,319,2571
2001,M23,TM,11,10A,530000,135500,51.104070727,-0.144552913,S,153,1082,198,343,231,455,191,2500
2001,M27,TM,12,split,464300,104900,50.840065438,-1.0881722,C,601,2997,617,820,605,1397,871,7307
2001,M27,TM,8,9,450500,109400,50.881894583,-1.283523278,E,298,2031,238,260,341,925,538,4333
2001,M27,TM,8,9,450500,109400,50.881894583,-1.283523278,W,231,1826,205,246,445,864,421,4007
2001,M40,TM,5,4,480300,192500,51.625599566,-0.84137313,E,332,1274,130,104,209,968,704,3389
2001,M40,TM,5,4,480300,192500,51.625599566,-0.84137313,W,261,1156,168,55,291,774,619,3063
2001,M45,TM,LA Boundary,M1,455407,270921,52.33358816,-1.188294518,E,40,211,40,20,96,214,101,682
2001,M45,TM,LA Boundary,M1,455407,270921,52.33358816,-1.188294518,W,35,225,24,36,98,197,115,695
2001,M53,TM,3,2,328000,388000,53.383918568,-3.083936887,N,255,529,102,134,139,507,173,1584
2001,M53,TM,3,2,328000,388000,53.383918568,-3.083936887,S,177,591,103,125,100,478,253,1650
2001,M56,TM,4,LA Boundary,383600,388821,53.395962788,-2.248093531,E,388,1399,187,181,376,980,614,3737
2001,M56,TM,4,LA Boundary,383600,388821,53.395962788,-2.248093531,W,429,1279,166,152,502,1090,490,3679
