year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2014,M80,TM,A73,A73,274293,674066,55.943146703,-4.014292268,C,245,1511,316,282,245,1267,2305,5926
2014,M74,TM,A74,A724,263553,662467,55.83607715,-4.180267528,C,238,1664,305,284,361,2308,2490,7412
2014,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,N,308,1118,223,159,253,1252,1452,4457
2014,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,S,248,921,177,165,198,1357,1303,4121
2014,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,90,583,239,240,69,605,924,2659
2014,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,92,623,168,218,167,677,764,2617
2014,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,85,620,132,149,105,618,417,2042
2014,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,70,614,143,142,95,609,349,1952
2014,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,141,745,262,126,101,246,1224,2704
2014,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,160,906,293,128,193,304,1317,3142
2014,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,464,1299,228,274,186,521,505,3013
2014,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,458,1284,226,271,185,516,499,2982
2014,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,220,314,92,121,15,69,235,845
2014,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,220,297,101,96,15,62,242,813
2014,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,N,137,509,153,86,27,427,458,1660
2014,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,S,136,450,131,113,35,350,469,1548
2014,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,243,589,144,151,43,173,625,1726
2014,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,201,519,123,190,38,261,413,1544
2014,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,E,173,323,81,67,35,239,371,1117
2014,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,W,158,443,70,72,65,293,346,1289
2014,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,N,171,315,69,77,18,209,240,928
2014,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,S,190,395,98,145,59,251,235,1184
2014,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,E,446,1218,221,274,124,521,654,3011
2014,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,W,450,1064,238,257,101,448,687,2795
2014,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,E,222,1354,377,319,176,280,1658,4164
2014,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,W,369,1202,318,313,62,212,1367,3474
2014,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,N,386,1706,385,1119,80,756,1387,5433
2014,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,S,408,1568,403,1169,145,927,1314,5526
2014,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,N,160,590,240,261,75,182,375,1722
2014,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,S,164,445,250,272,62,257,330,1616
2014,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,E,354,981,79,360,59,263,552,2294
2014,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,W,386,823,193,302,30,190,574,2110
2014,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,N,243,1616,309,212,215,1956,4768,9076
2014,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,S,233,1488,183,207,328,1847,4969,9023
2014,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,N,167,1345,245,198,398,2924,1731,6841
2014,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,S,184,1323,241,208,521,2310,1995,6597
2014,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,N,111,2122,170,126,335,2307,3161,8221
2014,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,S,107,2014,206,138,412,2229,2957,7957
2014,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,E,150,1644,529,376,202,606,3540,6896
2014,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,W,134,1604,456,418,227,757,3088,6550
2014,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,N,94,803,121,115,88,336,285,1748
2014,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,S,110,1011,133,118,224,697,349,2533
2014,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,N,130,814,196,219,92,636,1758,3716
2014,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,S,100,827,175,231,121,593,1735,3682
2014,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,E,172,958,141,93,334,873,698,3097
2014,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,W,112,909,117,140,103,730,938,2938
2014,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,E,557,890,120,294,155,406,396,2262
2014,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,W,541,1059,178,342,185,649,329,2743
2014,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,E,176,843,114,127,211,1214,964,3473
2014,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,W,178,887,123,105,217,830,1095,3256
