year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2020,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,E,59,774,180,187,147,600,1173,3061
2020,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,W,60,780,181,188,148,604,1181,3083
2020,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,E,63,839,158,185,175,1095,1267,3718
2020,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,W,63,841,158,186,176,1097,1269,3726
2020,M4,TM,28,27,328415,187298,51.579978,-3.0344815,N,88,800,245,219,188,596,2339,4388
2020,M4,TM,28,27,328415,187298,51.579978,-3.0344815,S,76,739,253,248,128,483,2355,4206
2020,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,E,40,491,160,191,81,262,1174,2359
2020,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,W,38,420,150,173,63,218,1291,2316
2020,M4,TM,47,46,263100,199260,51.675377,-3.9812998,E,57,736,146,141,55,152,935,2166
2020,M4,TM,47,46,263100,199260,51.675377,-3.9812998,W,51,741,152,132,68,128,865,2086
2020,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,E,109,526,190,167,91,225,1238,2437
2020,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,W,118,684,245,198,143,259,1382,2911
2020,M8,TM,27,26,249600,665700,55.86095,-4.404642,E,259,1379,248,377,190,520,541,3255
2020,M8,TM,27,26,249600,665700,55.86095,-4.404642,W,257,1373,248,375,191,519,538,3243
2020,M8,TM,31,30,243500,671870,55.914392,-4.5055725,E,51,181,39,113,12,63,185,592
2020,M8,TM,31,30,243500,671870,55.914392,-4.5055725,W,40,167,40,87,13,51,179,536
2020,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,N,26,405,138,110,46,321,453,1472
2020,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,S,31,452,125,91,52,331,488,1540
2020,M8,TM,11,10,266200,666110,55.869526,-4.1398329,E,204,1029,238,231,97,166,892,2653
2020,M8,TM,11,10,266200,666110,55.869526,-4.1398329,W,208,976,261,190,80,116,795,2417
2020,M8,TM,16,15,259700,666300,55.869383,-4.2437204,E,94,1537,356,383,153,611,1028,4070
2020,M8,TM,16,15,259700,666300,55.869383,-4.2437204,W,157,1426,223,309,78,519,886,3442
2020,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,N,92,903,270,266,79,233,1833,3583
2020,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,S,103,1017,294,317,93,321,2204,4245
2020,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,N,155,1339,107,197,62,103,416,2224
2020,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,S,187,1004,89,267,129,129,515,2134
2020,M1,TM,2,4,520150,194300,51.634686,-0.26531515,E,26,690,117,168,45,122,727,1870
2020,M1,TM,2,4,520150,194300,51.634686,-0.26531515,W,28,728,116,178,44,102,455,1623
