year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2015,M80,TM,A73,A73,274293,674066,55.943146703,-4.014292268,C,227,1557,352,291,307,1283,2338,6129
2015,M74,TM,A74,A724,263553,662467,55.83607715,-4.180267528,C,240,1684,308,287,365,2335,2519,7499
2015,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,N,213,1188,254,234,265,1705,1386,5032
2015,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,S,218,1196,184,171,322,1447,1314,4634
2015,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,83,601,266,248,86,612,937,2750
2015,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,85,642,187,225,209,686,775,2724
2015,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,79,638,147,154,132,626,424,2121
2015,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,65,632,159,146,119,617,354,2028
2015,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,130,768,292,130,126,249,1242,2806
2015,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,148,933,327,132,242,308,1337,3279
2015,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,482,1352,237,285,194,542,526,3136
2015,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,470,1319,232,279,190,530,513,3063
2015,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,204,323,102,124,19,69,239,877
2015,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,204,306,113,99,18,62,246,844
2015,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,N,127,525,171,89,34,432,464,1715
2015,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,S,126,464,146,117,44,355,476,1601
2015,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,51,412,136,86,48,346,457,1485
2015,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,60,460,124,72,55,358,492,1560
2015,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,E,165,321,88,67,43,236,368,1123
2015,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,W,151,441,75,72,80,289,343,1301
2015,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,N,164,313,74,77,22,207,238,931
2015,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,S,182,393,106,145,72,248,233,1197
2015,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,E,453,1235,224,278,126,528,663,3055
2015,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,W,450,1064,238,257,101,448,687,2795
2015,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,E,206,1395,420,330,220,283,1682,4330
2015,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,W,342,1238,354,323,78,215,1386,3595
2015,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,N,195,1263,245,377,129,661,1547,4222
2015,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,S,206,1131,231,326,123,518,1210,3539
2015,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,N,170,610,269,270,96,186,385,1815
2015,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,S,174,460,280,282,79,263,339,1703
2015,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,E,277,1335,118,241,87,213,410,2404
