year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2013,M80,TM,A73,A73,274293,674066,55.943146703,-4.014292268,C,1343,281,250,218,1126,2049,5268
2013,M74,TM,A74,A724,263553,662467,55.83607715,-4.180267528,C,1619,296,276,351,2246,2423,7212
2013,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,E,947,156,117,387,1499,1147,4253
2013,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,W,1200,156,134,198,1373,1142,4203
2013,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,672,158,166,222,756,606,2581
2013,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,503,161,120,98,501,809,2192
2013,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,607,116,140,94,556,400,1912
2013,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,622,123,138,70,541,403,1898
2013,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,1128,356,321,77,594,757,3233
2013,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,1132,246,197,80,435,826,2915
2013,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,1277,224,270,183,512,496,2961
2013,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,1290,227,273,186,518,501,2995
2013,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,321,87,116,15,75,222,835
2013,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,304,96,92,15,67,228,801
2013,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,N,521,145,82,27,465,431,1671
2013,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,S,460,124,108,35,381,442,1551
2013,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,603,136,145,43,189,589,1704
2013,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,531,116,182,38,284,390,1541
2013,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,E,345,80,67,35,263,353,1143
2013,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,W,473,69,72,66,321,329,1332
2013,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,N,336,68,77,19,229,228,957
2013,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,S,422,97,145,60,276,224,1224
