year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2007,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,E,1372,256,197,321,2013,1239,5398
2007,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,W,1602,238,195,237,1803,1345,5420
2007,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,895,217,290,152,814,728,3096
2007,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,961,241,257,211,947,641,3258
2007,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,993,148,142,135,628,474,2520
2007,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,919,156,157,130,526,503,2391
2007,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,1471,199,290,143,941,491,3535
2007,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,1213,114,261,147,473,771,2979
2007,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,1369,243,303,168,550,433,3066
2007,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,1158,216,301,157,629,563,3024
2007,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,378,70,105,37,111,202,903
2007,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,356,76,84,34,99,208,857
2007,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,E,384,61,109,107,418,328,1407
2007,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,W,602,85,109,210,556,443,2005
2007,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,710,109,131,102,282,538,1872
2007,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,624,94,164,90,423,356,1751
2007,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,N,564,66,41,101,232,323,1327
2007,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,S,634,78,41,118,295,285,1451
2007,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,N,404,56,71,45,342,209,1127
2007,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,S,506,79,134,140,411,205,1475
2007,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,E,1896,257,336,247,1044,589,4369
2007,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,W,1699,287,232,188,629,933,3968
2007,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,E,2804,483,447,245,853,1444,6276
2007,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,W,2616,563,462,240,893,1520,6294
2007,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,N,1804,407,501,278,536,1720,5246
2007,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,S,1956,380,499,273,595,1351,5054
2007,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,N,518,61,127,102,234,173,1215
2007,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,S,463,73,158,84,153,281,1212
2007,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,N,935,113,264,160,308,315,2095
2007,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,S,689,84,198,157,283,355,1766
2007,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,N,1616,265,145,557,2475,2302,7360
2007,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,S,1349,171,79,758,2788,2051,7196
2007,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,N,2263,223,265,743,3848,1897,9239
2007,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,S,1793,192,231,591,4191,1793,8791
2007,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,N,1768,288,201,412,3390,881,6940
2007,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,S,1760,345,220,502,4165,1487,8479
2007,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,N,1991,340,184,840,3185,1961,8501
2007,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,S,1982,339,157,939,2944,2515,8876
2007,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,E,2368,359,381,556,2272,1437,7373
2007,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,W,2243,432,369,459,2010,1723,7236
2007,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,N,836,162,123,139,591,669,2520
2007,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,S,655,175,151,207,678,683,2549
2007,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,N,1055,211,275,272,1110,820,3743
2007,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,S,992,150,281,198,1354,710,3685
2007,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,E,1018,134,142,220,1097,665,3276
2007,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,W,1156,144,141,149,954,885,3429
2007,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,E,1801,314,264,107,252,592,3330
2007,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,W,1815,154,417,10,322,682,3400
2007,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,E,1241,112,89,269,1315,1245,4271
2007,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,W,1054,163,171,243,1016,1136,3783
2007,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,E,831,127,143,338,1635,1160,4234
2007,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,W,842,147,153,299,1454,1029,3924
2007,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,N,1552,228,143,486,2268,1326,6003
2007,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,S,1599,222,151,408,1776,1183,5339
2007,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,N,1602,229,161,449,1914,1508,5863
2007,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,S,1537,254,123,538,1667,1744,5863
2007,M5,TM,11,10,389660,223200,51.90724048,-2.151710032,N,1467,181,176,449,2065,2252,6590
2007,M5,TM,11,10,389660,223200,51.90724048,-2.151710032,S,925,145,139,386,1437,1682,4714
2007,M5,TM,24,23,330800,134540,51.105965169,-2.989794576,N,1175,197,239,465,1318,1157,4551
2007,M5,TM,24,23,330800,134540,51.105965169,-2.989794576,S,759,198,189,289,983,1356,3774
2007,M5,TM,28,27,303700,112172,50.900967348,-3.370833261,N,832,231,90,196,440,1392,3181
2007,M5,TM,28,27,303700,112172,50.900967348,-3.370833261,S,830,240,83,201,471,1314,3139
2007,M6,TM,4,M42,419593,286694,52.477827332,-1.712953169,N,1873,254,140,347,2195,1054,5863
2007,M6,TM,4,M42,419593,286694,52.477827332,-1.712953169,S,1087,141,49,547,2779,1404,6007
2007,M6,TM,16,17,377600,359800,53.134882738,-2.336267782,N,3052,344,196,597,2504,4283,10976
2007,M6,TM,16,17,377600,359800,53.134882738,-2.336267782,S,3145,325,250,509,2563,5100,11892
2007,M6,TM,21 spur,21A,364400,390840,53.413160277,-2.537048107,N,3472,521,559,655,2704,5399,13310
2007,M6,TM,21 spur,21A,364400,390840,53.413160277,-2.537048107,S,3338,480,457,920,3469,4339,13003
2007,M6,TM,25,A49,356725,402000,53.512889706,-2.654047289,N,539,83,131,124,183,337,1397
2007,M6,TM,25,A49,356725,402000,53.512889706,-2.654047289,S,455,101,101,143,223,251,1274
2007,M6,TM,29A,30,357160,425900,53.727730144,-2.650785067,N,1383,202,256,271,1210,1358,4680
2007,M6,TM,29A,30,357160,425900,53.727730144,-2.650785067,S,1384,220,286,453,1129,1409,4881
2007,M6,TM,34 western spur,35,349600,465000,54.078444094,-2.771810414,N,1009,164,299,247,1048,1550,4317
2007,M6,TM,34 western spur,35,349600,465000,54.078444094,-2.771810414,S,1074,187,307,233,1261,1475,4537
2007,M6,TM,43,44,341413,559508,54.926803387,-2.915724416,N,651,158,137,369,1505,1737,4557
2007,M6,TM,43,44,341413,559508,54.926803387,-2.915724416,S,734,112,116,416,1769,1497,4644
2007,M18,TM,4,5,466400,407900,53.563525103,-0.998969684,N,957,129,179,315,2028,1313,4921
2007,M18,TM,4,5,466400,407900,53.563525103,-0.998969684,S,1013,151,185,279,1266,2232,5126
2007,M20,TM,4,5,571200,158800,51.302579071,0.454516689,E,1517,239,376,494,4428,814,7868
2007,M20,TM,4,5,571200,158800,51.302579071,0.454516689,W,1339,214,333,356,3842,791,6875
2007,M23,TM,11,10A,530000,135500,51.104070727,-0.144552913,N,1616,185,306,117,560,342,3126
2007,M23,TM,11,10A,530000,135500,51.104070727,-0.144552913,S,1782,173,293,151,338,276,3013
2007,M27,TM,12,split,464300,104900,50.840065438,-1.0881722,C,3621,734,458,314,1413,1273,7813
