year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2022,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,E,525,127,198,31,91,2089,3061
2022,M80,TM,A73,A73,274293,674066,55.943145,-4.0142922,W,589,215,158,44,358,1444,2808
2022,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,E,974,183,209,200,1194,1381,4142
2022,M74,TM,A74,A724,263553,662467,55.836076,-4.1802675,W,977,183,209,201,1197,1384,4151
2022,M4,TM,28,27,328415,187298,51.579978,-3.0344815,N,779,251,154,269,1120,1651,4225
2022,M4,TM,28,27,328415,187298,51.579978,-3.0344815,S,708,235,187,155,897,1921,4103
2022,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,E,570,185,216,93,286,1280,2630
2022,M4,TM,LA Boundary,37,280770,182100,51.525188,-3.7200444,W,487,173,195,72,238,1408,2575
2022,M4,TM,47,46,263100,199260,51.675377,-3.9812998,E,855,169,159,63,166,1020,2433
2022,M4,TM,47,46,263100,199260,51.675377,-3.9812998,W,861,176,149,78,140,943,2346
2022,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,E,611,220,189,104,246,1350,2719
2022,M8,TM,3,LA boundary,310000,671400,55.927219,-3.4419356,W,795,283,224,164,283,1507,3255
2022,M8,TM,27,26,249751,665710,55.861087,-4.4022373,E,718,130,404,134,244,963,2593
2022,M8,TM,27,26,249751,665710,55.861087,-4.4022373,W,715,174,404,112,239,961,2605
2022,M8,TM,31,30,243500,671870,55.914392,-4.5055725,E,230,49,140,15,76,220,729
2022,M8,TM,31,30,243500,671870,55.914392,-4.5055725,W,223,53,113,17,64,226,696
2022,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,N,339,60,156,61,473,225,1314
2022,M9,TM,6,A905,291490,681000,56.009609,-3.7418997,S,730,98,201,29,167,555,1779
2022,M8,TM,11,10,266200,666110,55.869526,-4.1398329,E,1018,234,222,94,154,829,2551
2022,M8,TM,11,10,266200,666110,55.869526,-4.1398329,W,962,256,182,78,107,736,2320
2022,M8,TM,16,15,259700,666300,55.869383,-4.2437204,E,1786,412,433,175,667,1121,4594
2022,M8,TM,16,15,259700,666300,55.869383,-4.2437204,W,1657,258,349,89,567,966,3886
2022,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,N,1077,320,308,93,261,2052,4111
2022,M73,TM,M74,LA Boundary,268800,662700,55.839624,-4.0966637,S,1224,352,370,110,362,2490,4908
2022,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,N,1461,117,209,66,105,426,2384
2022,M1,TM,A406,M1 spur,522170,189100,51.587519,-0.23795286,S,1080,95,279,137,131,519,2241
2022,M1,TM,2,4,520150,194300,51.634686,-0.26531515,E,818,66,175,54,113,384,1610
2022,M1,TM,2,4,520150,194300,51.634686,-0.26531515,W,821,107,198,72,140,420,1758
2022,M1,TM,17,18,458354,270523,52.329704,-1.1451197,N,1123,282,156,665,3248,4398,9872
2022,M1,TM,17,18,458354,270523,52.329704,-1.1451197,S,836,243,138,418,3190,4075,8899
2022,M1,TM,22,23,447940,312400,52.707152,-1.2918996,N,1046,279,333,180,784,5525,8148
