year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2017,M80,TM,A73,A73,274293,674066,55.943146703,-4.014292268,E,110,871,186,190,162,631,1271,3310
2017,M80,TM,A73,A73,274293,674066,55.943146703,-4.014292268,W,111,877,187,191,163,635,1280,3333
2017,M74,TM,A74,A724,263553,662467,55.83607715,-4.180267528,E,117,944,163,188,193,1150,1372,4010
2017,M74,TM,A74,A724,263553,662467,55.83607715,-4.180267528,W,117,946,164,188,193,1153,1375,4019
2017,M4,TM,28,27,328415,187298,51.579979594,-3.034481487,N,220,1227,245,179,238,1615,1051,4554
2017,M4,TM,28,27,328415,187298,51.579979594,-3.034481487,S,237,1237,268,226,372,1647,1284,5034
2017,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,87,655,201,200,115,325,1271,2766
2017,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,78,613,214,193,73,209,1308,2610
2017,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,64,844,202,187,66,191,988,2478
2017,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,90,872,215,197,91,239,925,2538
2017,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,125,850,305,168,132,242,1335,3032
2017,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,142,1033,342,170,252,300,1437,3534
2017,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,479,1553,257,382,209,547,587,3535
2017,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,472,1531,254,377,208,540,578,3488
2017,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,114,248,49,140,16,81,244,778
2017,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,92,232,51,109,17,66,240,715
2017,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,49,456,142,111,50,337,491,1588
2017,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,57,509,129,93,57,348,529,1665
2017,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,E,398,1256,215,330,120,472,655,3048
2017,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,W,391,1070,226,302,95,396,671,2761
2017,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,E,173,1718,366,386,167,638,1106,4383
2017,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,W,291,1614,232,316,86,549,966,3764
2017,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,N,187,1398,257,486,134,643,1663,4581
2017,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,S,197,1252,242,421,128,503,1301,3847
2017,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,N,257,1353,100,180,61,97,404,2194
2017,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,S,298,972,79,233,122,117,480,2003
2017,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,E,285,1587,133,334,98,223,473,2847
2017,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,W,298,1318,126,272,63,229,466,2473
2017,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,N,210,1521,241,361,367,2658,4781,9929
2017,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,S,254,1093,206,377,388,2489,4148,8701
2017,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,N,67,1263,229,265,277,1570,2973,6577
2017,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,S,96,1290,313,227,277,1738,3110,6956
2017,M1,TM,LA Boundary,28,447218,354039,53.081495343,-1.2965528,N,137,1657,217,202,287,4442,878,7682
2017,M1,TM,LA Boundary,28,447218,354039,53.081495343,-1.2965528,S,137,1631,267,181,315,5129,821,8344
2017,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,E,124,1640,388,524,294,1057,2617,6520
2017,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,W,136,1606,355,453,289,1212,2990,6906
2017,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,N,99,551,136,165,88,298,294,1532
2017,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,S,127,654,132,242,196,701,454,2378
2017,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,N,88,1042,157,360,179,1960,1097,4795
2017,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,S,105,946,177,372,189,2026,1318,5028
2017,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,E,127,753,173,116,284,975,781,3082
2017,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,W,121,726,167,105,217,828,768,2811
2017,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,E,447,1023,174,486,107,675,267,2732
2017,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,W,434,1054,140,535,147,557,280,2713
2017,M4,TM,13,12,452207,174055,51.463069786,-1.249891049,E,248,1160,158,166,148,747,2068,4447
2017,M4,TM,13,12,452207,174055,51.463069786,-1.249891049,W,226,1074,171,159,177,660,1956,4197
2017,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,E,138,798,70,143,378,1780,647,3816
2017,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,W,120,684,56,149,236,631,1571,3327
2017,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,N,56,922,254,138,134,520,2017,3985
2017,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,S,56,1002,209,151,121,536,2391,4410
2017,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,N,72,1503,151,100,170,538,3199,5661
2017,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,S,72,1381,138,113,195,494,2855,5175
2017,M5,TM,11,10,389660,223200,51.90724048,-2.151710032,N,89,1153,212,116,65,1480,2743,5768
2017,M5,TM,11,10,389660,223200,51.90724048,-2.151710032,S,114,1065,277,135,67,1277,2320,5140
2017,M5,TM,24,23,330800,134540,51.105965169,-2.989794576,N,151,816,225,173,345,1487,1012,4057
2017,M5,TM,24,23,330800,134540,51.105965169,-2.989794576,S,212,998,263,230,208,929,1083,3711
2017,M5,TM,28,27,303700,112172,50.900967348,-3.370833261,N,111,805,59,197,131,919,1067,3179
2017,M5,TM,28,27,303700,112172,50.900967348,-3.370833261,S,93,508,87,191,105,908,1085,2883
2017,M6,TM,4,M42,419593,286694,52.477827332,-1.712953169,E,95,1135,299,141,247,1308,3670,6799
2017,M6,TM,4,M42,419593,286694,52.477827332,-1.712953169,W,68,1425,309,230,206,1362,3290,6821
2017,M6,TM,16,17,377600,359800,53.134882738,-2.336267782,N,113,2235,278,204,420,2318,4979,10433
2017,M6,TM,16,17,377600,359800,53.134882738,-2.336267782,S,131,2179,364,296,428,2694,5026,10987
2017,M6,TM,21 spur,21A,364400,390840,53.413160277,-2.537048107,E,169,2109,340,385,565,5011,2893,11305
2017,M6,TM,21 spur,21A,364400,390840,53.413160277,-2.537048107,W,160,2135,436,421,529,5096,3075,11692
2017,M6,TM,25,A49,356725,402000,53.512889706,-2.654047289,N,17,317,99,58,43,85,501,1101
2017,M6,TM,25,A49,356725,402000,53.512889706,-2.654047289,S,26,287,75,61,44,54,550,1071
2017,M6,TM,29A,30,357160,425900,53.727730144,-2.650785067,N,103,721,262,179,156,483,2401,4203
2017,M6,TM,29A,30,357160,425900,53.727730144,-2.650785067,S,120,825,224,206,251,784,2273,4563
2017,M6,TM,43,44,341413,559508,54.926803387,-2.915724416,N,61,468,226,111,140,488,2972,4406
2017,M6,TM,43,44,341413,559508,54.926803387,-2.915724416,S,51,481,235,126,176,577,3335,4929
2017,M18,TM,4,5,466400,407900,53.563525103,-0.998969684,N,42,1027,184,201,240,997,3561,6209
2017,M18,TM,4,5,466400,407900,53.563525103,-0.998969684,S,41,1031,189,195,199,781,3278,5672
2017,M20,TM,4,5,571200,158800,51.302579071,0.454516689,E,135,1209,197,345,462,4093,566,6871
2017,M20,TM,4,5,571200,158800,51.302579071,0.454516689,W,180,1062,216,347,400,4303,822,7150
2017,M23,TM,11,10A,530000,135500,51.104070727,-0.144552913,E,127,664,177,345,139,324,601,2251
2017,M23,TM,11,10A,530000,135500,51.104070727,-0.144552913,W,107,538,163,369,76,300,453,1900
2017,M27,TM,12,split,464300,104900,50.840065438,-1.0881722,C,372,2885,545,659,519,3507,4149,12264
2017,M27,TM,8,9,450500,109400,50.881894583,-1.283523278,E,142,1092,251,297,174,974,704,3492
2017,M27,TM,8,9,450500,109400,50.881894583,-1.283523278,W,162,1384,225,298,238,1143,702,3991
2017,M40,TM,5,4,480300,192500,51.625599566,-0.84137313,E,255,945,256,195,157,1027,1367,3948
2017,M40,TM,5,4,480300,192500,51.625599566,-0.84137313,W,307,776,225,191,125,968,1461,3747
2017,M45,TM,LA Boundary,M1,455407,270921,52.33358816,-1.188294518,E,31,134,28,39,32,301,120,653
2017,M45,TM,LA Boundary,M1,455407,270921,52.33358816,-1.188294518,W,20,152,18,35,50,291,134,680
2017,M53,TM,3,2,328000,388000,53.383918568,-3.083936887,N,57,544,92,201,10,153,592,1593
2017,M53,TM,3,2,328000,388000,53.383918568,-3.083936887,S,77,1051,124,168,29,159,870,2402
2017,M56,TM,4,LA Boundary,383600,388821,53.395962788,-2.248093531,E,258,826,212,217,167,1224,364,3011
2017,M56,TM,4,LA Boundary,383600,388821,53.395962788,-2.248093531,W,207,805,161,183,96,1335,340,2920
2017,M56,TM,5,4,381560,387149,53.380866323,-2.278673113,N,261,1229,167,352,181,2080,358,4368
2017,M56,TM,5,4,381560,387149,53.380866323,-2.278673113,S,259,1057,212,337,204,2045,532,4387
2017,M56,TM,9,8,371100,385200,53.362877129,-2.435735543,E,85,688,75,214,121,1295,118,2510
2017,M56,TM,9,8,371100,385200,53.362877129,-2.435735543,W,88,584,90,230,122,1164,142,2331
2017,M62,TM,9,10,362100,392040,53.423785292,-2.571793263,E,120,1881,246,383,370,1547,2759,7186
2017,M62,TM,9,10,362100,392040,53.423785292,-2.571793263,W,106,1866,198,345,290,1360,3086,7145
2017,M60,TM,17,18,381800,405391,53.544840306,-2.276128119,E,124,2082,364,561,472,5791,606,9876
2017,M60,TM,17,18,381800,405391,53.544840306,-2.276128119,W,128,1953,358,586,437,5059,827,9220
2017,M62,TM,22,LA Boundary,404000,416600,53.645894656,-1.940966531,E,90,1650,324,222,569,3102,2848,8715
2017,M62,TM,22,LA Boundary,404000,416600,53.645894656,-1.940966531,W,82,1314,364,151,397,2274,3704,8204
2017,M62,TM,27,28,426000,426200,53.731552741,-1.607373937,E,113,1300,339,261,320,3810,2420,8451
2017,M62,TM,27,28,426000,426200,53.731552741,-1.607373937,W,117,1634,339,328,439,3008,3824,9573
2017,M60,TM,12,11,375152,398500,53.482628765,-2.375902521,N,68,1210,288,486,210,1665,329,4188
2017,M60,TM,12,11,375152,398500,53.482628765,-2.375902521,S,73,1194,197,470,122,1757,378,4117
2017,M60,TM,6,LA Boundary,380885,391590,53.42075985,-2.289090943,N,64,1040,242,457,77,1336,269,3420
2017,M60,TM,6,LA Boundary,380885,391590,53.42075985,-2.289090943,S,68,957,220,394,100,1251,372,3294
2017,M60,TM,19,18,383000,405700,53.547658151,-2.258035962,E,66,1135,264,366,145,404,1070,3384
2017,M60,TM,19,18,383000,405700,53.547658151,-2.258035962,W,71,1121,259,412,146,365,1128,3430
2017,M621,TM,RD SPLIT,1,426500,429600,53.762086252,-1.599504898,N,73,578,124,89,56,279,192,1319
2017,M621,TM,RD SPLIT,1,426500,429600,53.762086252,-1.599504898,S,88,571,161,98,118,264,207,1419
2017,M25,TM,23,22,521708,201110,51.695554633,-0.240444924,E,118,1741,176,239,301,5505,1060,9023
2017,M25,TM,23,22,521708,201110,51.695554633,-0.240444924,W,127,1642,296,266,374,6042,1289,9910
2017,M25,TM,17,18,503800,195000,51.644230932,-0.501259659,N,245,1996,325,347,404,3259,1537,7868
2017,M25,TM,17,18,503800,195000,51.644230932,-0.501259659,S,204,1636,296,269,310,2277,1563,6350
2017,M67,TM,2,3,394490,395211,53.453627673,-2.084440464,E,48,541,84,86,138,351,276,1475
2017,M67,TM,2,3,394490,395211,53.453627673,-2.084440464,W,29,384,67,65,102,351,283,1251
2017,M25,TM,3,2,554050,170000,51.408106802,0.213549769,N,177,1548,189,516,237,3381,946,6817
2017,M25,TM,3,2,554050,170000,51.408106802,0.213549769,S,156,1416,188,534,300,3835,907,7179
2017,M56,TM,M56 spur,14,344600,373500,53.255601957,-2.831861072,E,148,1004,257,372,169,1457,2553,5812
