year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2009,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,E,1417,234,168,367,1714,903,4803
2009,M4,TM,28,27,328570,187000,51.577320306,-3.032184269,W,1141,178,165,330,1488,979,4281
2009,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,E,634,170,151,156,784,450,2345
2009,M4,TM,LA Boundary,37,280770,182100,51.525189997,-3.720044465,W,943,208,183,126,668,527,2655
2009,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,E,810,177,138,113,531,391,2160
2009,M4,TM,47,46,263100,199260,51.675378776,-3.981299876,W,765,167,130,119,465,482,2128
2009,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,E,1183,313,285,152,691,674,3298
2009,M8,TM,3,LA boundary,310000,671400,55.927220069,-3.441935691,W,1187,216,174,157,506,736,2976
2009,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,E,1059,157,218,179,408,411,2432
2009,M8,TM,27,26,249600,665700,55.860951678,-4.404642133,W,1274,192,219,155,399,435,2674
2009,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,E,337,76,103,30,87,197,830
2009,M8,TM,31,30,243500,671870,55.914393213,-4.505572605,W,318,83,83,29,77,203,793
2009,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,N,547,127,73,53,540,384,1724
2009,M9,TM,1,A8000,311900,675200,55.961703912,-3.412781028,S,483,109,97,70,443,394,1596
2009,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,N,632,119,129,85,220,525,1710
2009,M9,TM,6,A905,291490,681000,56.009610736,-3.741899778,S,557,102,161,75,331,347,1573
2009,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,N,377,74,63,71,310,320,1215
2009,M90,TM,7,8,312200,705300,56.232111083,-3.417880629,S,517,63,66,132,379,298,1455
2009,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,N,368,62,71,38,271,207,1017
2009,M90,TM,3,4,312800,689300,56.088513839,-3.402955984,S,461,88,135,119,326,203,1332
2009,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,E,1822,277,348,347,863,830,4487
2009,M8,TM,11,10,266200,666110,55.869527789,-4.139832958,W,1536,287,315,272,718,842,3970
2009,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,E,2464,322,396,146,1022,678,5028
2009,M8,TM,16,15,259700,666300,55.869384611,-4.243720513,W,2358,317,360,72,785,809,4701
2009,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,N,1831,320,954,157,957,1165,5384
2009,M73,TM,M74,LA Boundary,268800,662700,55.839624967,-4.096663797,S,1683,335,997,285,1174,1103,5577
2009,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,N,495,72,135,83,179,165,1129
2009,M1,TM,A406,M1 spur,522170,189100,51.587520736,-0.237952792,S,443,86,167,69,117,268,1150
2009,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,N,1705,213,233,12,203,666,3032
2009,M1,TM,2,4,520150,194300,51.634687942,-0.265315076,S,726,136,226,38,112,456,1694
2009,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,N,2169,299,273,472,3191,1979,8383
2009,M1,TM,12,13,500244,234300,51.998106684,-0.541270096,S,1697,258,240,428,2620,1966,7209
2009,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,N,1692,206,182,460,2809,2088,7437
2009,M1,TM,17,18,458354,270523,52.329705549,-1.145119703,S,1544,224,190,494,2831,2402,7685
2009,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,N,1427,245,175,563,2312,1381,6103
2009,M1,TM,22,23,447940,312400,52.707153513,-1.291899545,S,1315,199,184,508,2038,1558,5802
2009,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,N,1381,331,257,733,2535,1739,6976
2009,M1,TM,LA Boundary,28,446420,355300,53.092899472,-1.30828324,S,1519,306,172,591,2324,2159,7071
2009,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,E,2589,357,374,104,1101,2323,6848
2009,M1,TM,M18 spur,33,446000,389300,53.398532582,-1.309655266,W,2740,240,403,133,825,2287,6628
2009,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,N,855,133,104,189,761,686,2728
2009,M621,TM,7,M1,432150,429500,53.760870738,-1.513814302,S,749,214,130,260,812,589,2754
2009,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,N,957,220,318,189,1151,542,3377
2009,M2,TM,2,LA Boundary,573500,165500,51.362070922,0.490738124,S,809,152,275,150,1487,493,3366
2009,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,E,760,99,82,276,888,469,2574
2009,M3,TM,7,6,459450,147210,51.221001097,-1.150116819,W,797,121,113,91,888,747,2757
2009,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,E,951,143,270,8,253,561,2186
2009,M4,TM,4,3,508900,178400,51.494067034,-0.432721583,W,1519,153,217,108,305,538,2840
2009,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,E,1227,99,183,87,1037,1196,3829
2009,M4,TM,13,12,449300,173350,51.456991348,-1.291830727,W,2068,52,169,119,1282,1132,4822
2009,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,E,615,152,93,322,1324,1054,3560
2009,M4,TM,LA Boundary,17,389200,179080,51.510544007,-2.157014857,W,645,140,100,222,1128,869,3104
2009,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,N,1424,288,176,328,1660,1205,5081
2009,M5,TM,4,LA Boundary,398500,280000,52.417993414,-2.023481394,S,1371,222,186,338,1409,1156,4682
2009,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,N,1503,246,135,422,1788,1621,5715
2009,M5,TM,LA Boundary,LA Boundary,391788,234783,52.011416047,-2.12105813,S,1430,269,136,589,1616,1916,5956
2009,M5,TM,11,10,389660,223200,51.90724048,-2.151710032,N,1234,161,171,399,2129,1189,5283
2009,M5,TM,11,10,389660,223200,51.90724048,-2.151710032,S,821,167,100,345,1283,1715,4431
2009,M5,TM,24,23,330800,134540,51.105965169,-2.989794576,N,1037,212,233,366,976,1069,3893
2009,M5,TM,24,23,330800,134540,51.105965169,-2.989794576,S,670,214,184,228,728,1253,3277
2009,M5,TM,28,27,303700,112172,50.900967348,-3.370833261,N,847,285,107,209,484,1225,3157
2009,M5,TM,28,27,303700,112172,50.900967348,-3.370833261,S,657,257,127,109,419,1024,2593
2009,M6,TM,4,M42,419593,286694,52.477827332,-1.712953169,N,1669,277,138,289,1715,1029,5117
2009,M6,TM,4,M42,419593,286694,52.477827332,-1.712953169,S,968,153,48,455,2172,1370,5166
2009,M6,TM,16,17,377600,359800,53.134882738,-2.336267782,N,2514,206,240,358,4568,2185,10071
2009,M6,TM,16,17,377600,359800,53.134882738,-2.336267782,S,2717,232,160,316,4988,2349,10762
2009,M6,TM,21 spur,21A,364400,390840,53.413160277,-2.537048107,N,3559,353,265,855,4532,2385,11949
2009,M6,TM,21 spur,21A,364400,390840,53.413160277,-2.537048107,S,3641,248,387,716,4394,2979,12365
